origin	dest	demand
1	2	179
1	3	37
1	4	113
1	5	93
1	6	277
1	7	358
1	8	54
1	9	291
1	10	374
1	11	8
1	12	347
1	13	463
1	14	198
1	15	481
1	16	147
1	17	100
1	18	121
1	19	281
1	20	4
1	21	19
1	22	352
1	23	37
1	24	46
1	26	291
1	27	220
1	28	298
1	29	428
1	30	199
1	31	59
1	32	91
1	33	43
1	34	81
1	35	478
1	36	44
1	37	277
1	38	171
1	39	87
1	40	442
1	41	158
1	42	53
1	43	432
1	44	291
1	45	230
1	46	5
1	47	50
1	48	47
1	50	247
1	51	491
1	52	195
1	53	129
1	54	337
1	55	182
1	56	380
1	57	106
1	58	371
1	59	465
1	60	290
1	61	420
1	62	57
1	63	143
1	64	202
1	65	230
1	66	476
1	67	484
1	68	15
1	69	213
1	70	250
1	71	84
1	72	409
2	1	182
2	3	256
2	4	161
2	5	276
2	6	38
2	7	402
2	8	499
2	9	49
2	10	331
2	11	282
2	12	32
2	13	138
2	14	381
2	15	312
2	16	342
2	17	323
2	18	75
2	19	499
2	20	193
2	21	192
2	22	346
2	23	480
2	24	424
2	25	8
2	27	418
2	29	83
2	30	473
2	31	241
2	32	72
2	33	22
2	34	342
2	35	267
2	36	422
2	37	87
2	38	407
2	39	269
2	40	172
2	41	292
2	42	489
2	43	28
2	44	280
2	45	93
2	46	425
2	47	128
2	48	355
2	49	164
2	51	23
2	52	293
2	53	219
2	54	449
2	55	38
2	56	64
2	57	447
2	58	1
2	59	120
2	60	118
2	61	151
2	62	294
2	63	333
2	64	165
2	65	282
2	66	92
2	67	123
2	68	384
2	69	480
2	70	451
2	71	191
2	72	192
3	1	201
3	2	345
3	4	42
3	5	488
3	6	146
3	7	298
3	8	248
3	9	110
3	10	201
3	11	25
3	12	88
3	13	168
3	14	104
3	15	324
3	16	309
3	17	457
3	18	408
3	19	214
3	20	429
3	21	159
3	22	383
3	23	192
3	24	358
3	25	179
3	26	318
3	28	135
3	29	409
3	30	454
3	31	245
3	32	451
3	33	414
3	34	261
3	35	104
3	36	20
3	37	378
3	38	340
3	39	223
3	40	431
3	41	40
3	42	401
3	43	354
3	44	115
3	45	316
3	46	282
3	47	23
3	48	118
3	49	404
3	50	133
3	52	41
3	53	171
3	54	325
3	55	93
3	56	149
3	57	494
3	58	331
3	59	41
3	60	16
3	61	384
3	62	203
3	63	480
3	64	215
3	65	119
3	66	182
3	67	340
3	68	143
3	69	239
3	70	274
3	71	471
3	72	468
4	1	330
4	2	350
4	3	384
4	5	4
4	6	439
4	7	139
4	8	8
4	9	191
4	10	114
4	11	242
4	12	357
4	13	141
4	14	186
4	15	84
4	16	164
4	17	40
4	18	76
4	19	115
4	20	132
4	21	194
4	22	70
4	23	84
4	24	454
4	25	482
4	26	402
4	27	47
4	29	476
4	30	54
4	31	281
4	32	2
4	33	292
4	34	349
4	35	23
4	36	24
4	37	133
4	38	249
4	39	388
4	40	328
4	41	324
4	42	188
4	43	252
4	44	333
4	45	209
4	46	415
4	47	307
4	48	230
4	49	462
4	50	280
4	51	370
4	53	347
4	54	160
4	55	209
4	56	15
4	57	348
4	58	208
4	59	292
4	60	44
4	61	50
4	62	454
4	63	53
4	64	195
4	65	122
4	66	202
4	67	68
4	68	107
4	69	249
4	70	134
4	71	37
4	72	406
5	2	136
5	3	188
5	4	89
5	6	211
5	7	256
5	8	39
5	9	490
5	10	341
5	11	325
5	12	89
5	13	250
5	14	369
5	15	421
5	16	384
5	17	471
5	18	416
5	19	99
5	20	94
5	21	50
5	22	447
5	23	102
5	24	373
5	25	429
5	26	374
5	27	195
5	28	363
5	30	67
5	31	88
5	32	41
5	33	347
5	34	422
5	35	32
5	36	191
5	37	438
5	38	399
5	39	131
5	40	215
5	41	4
5	42	193
5	43	447
5	44	63
5	45	460
5	46	361
5	47	296
5	48	477
5	49	395
5	50	165
5	51	478
5	52	323
5	54	10
5	55	426
5	56	111
5	57	43
5	58	118
5	59	427
5	60	497
5	61	327
5	62	155
5	63	230
5	64	208
5	65	227
5	66	492
5	67	145
5	68	215
5	69	117
5	70	120
5	71	193
5	72	154
6	1	225
6	2	494
6	3	463
6	4	203
6	5	154
6	7	431
6	8	367
6	9	117
6	10	384
6	11	33
6	12	451
6	13	427
6	14	351
6	15	238
6	16	155
6	17	22
6	18	409
6	19	456
6	20	427
6	21	326
6	22	474
6	23	137
6	24	250
6	25	478
6	26	422
6	27	211
6	28	320
6	29	332
6	31	173
6	32	379
6	33	465
6	34	280
6	35	408
6	36	499
6	37	462
6	38	220
6	39	8
6	40	487
6	41	178
6	42	103
6	43	353
6	44	362
6	45	371
6	46	427
6	47	440
6	48	439
6	49	193
6	50	452
6	51	159
6	52	295
6	53	119
6	55	5
6	56	56
6	57	156
6	58	491
6	59	59
6	60	496
6	61	387
6	62	22
6	63	232
6	64	37
6	65	200
6	66	1
6	67	215
6	68	405
6	69	304
6	70	431
6	71	326
6	72	376
7	1	240
7	2	95
7	3	153
7	4	337
7	5	456
7	6	73
7	8	209
7	9	374
7	10	325
7	11	392
7	12	193
7	13	166
7	14	358
7	15	54
7	16	196
7	17	71
7	18	25
7	19	10
7	20	145
7	21	126
7	22	77
7	23	171
7	24	423
7	25	170
7	26	99
7	27	214
7	28	217
7	29	180
7	30	457
7	32	153
7	33	416
7	34	205
7	35	472
7	36	301
7	37	138
7	38	310
7	39	431
7	40	330
7	41	233
7	42	302
7	43	155
7	44	9
7	45	123
7	46	428
7	47	291
7	48	205
7	49	70
7	50	246
7	51	185
7	52	121
7	53	227
7	54	456
7	56	97
7	57	144
7	58	279
7	59	88
7	60	221
7	61	146
7	62	68
7	63	65
7	64	264
7	65	110
7	66	13
7	67	278
7	68	36
7	69	228
7	70	434
7	71	457
7	72	142
8	1	53
8	2	32
8	3	153
8	4	299
8	5	70
8	6	262
8	7	401
8	9	128
8	10	411
8	11	92
8	12	390
8	13	374
8	14	135
8	15	12
8	16	465
8	17	413
8	18	387
8	19	31
8	20	352
8	21	27
8	22	483
8	23	162
8	24	340
8	25	156
8	26	285
8	27	192
8	28	341
8	29	276
8	30	21
8	31	354
8	33	191
8	34	296
8	35	343
8	36	88
8	37	183
8	38	394
8	39	408
8	40	18
8	41	135
8	42	226
8	43	151
8	44	158
8	45	313
8	46	488
8	47	308
8	48	151
