origin	dest	capacity	length	fft	alpha	beta	speedLimit
1.0	2.0	1800.0	360.0	6.0	0.15	4.0	60.0
1.0	3.0	2200.0	240.0	4.0	0.15	4.0	60.0
2.0	1.0	2200.0	360.0	6.0	0.15	4.0	60.0
2.0	6.0	1800.0	300.0	5.0	0.15	4.0	60.0
3.0	1.0	1800.0	240.0	4.0	0.15	4.0	60.0
4.0	3.0	1800.0	240.0	4.0	0.15	4.0	60.0
3.0	12.0	1800.0	240.0	4.0	0.15	4.0	60.0
3.0	4.0	1800.0	240.0	4.0	0.15	4.0	60.0
4.0	5.0	1800.0	120.0	2.0	0.15	4.0	60.0
4.0	11.0	1800.0	360.0	6.0	0.15	4.0	60.0
5.0	4.0	1800.0	120.0	2.0	0.15	4.0	60.0
5.0	6.0	1800.0	240.0	4.0	0.15	4.0	60.0
5.0	9.0	1800.0	300.0	5.0	0.15	4.0	60.0
6.0	2.0	2200.0	300.0	5.0	0.15	4.0	60.0
6.0	5.0	2200.0	240.0	4.0	0.15	4.0	60.0
6.0	8.0	1800.0	120.0	2.0	0.15	4.0	60.0
7.0	8.0	1800.0	180.0	3.0	0.15	4.0	60.0
7.0	18.0	2200.0	120.0	2.0	0.15	4.0	60.0
8.0	6.0	2200.0	120.0	2.0	0.15	4.0	60.0
8.0	7.0	1800.0	180.0	3.0	0.15	4.0	60.0
8.0	9.0	1800.0	600.0	10.0	0.15	4.0	60.0
8.0	16.0	1800.0	300.0	5.0	0.15	4.0	60.0
9.0	5.0	1800.0	300.0	5.0	0.15	4.0	60.0
9.0	8.0	1800.0	600.0	10.0	0.15	4.0	60.0
9.0	10.0	1800.0	180.0	3.0	0.15	4.0	60.0
10.0	9.0	1800.0	180.0	3.0	0.15	4.0	60.0
10.0	11.0	1800.0	300.0	5.0	0.15	4.0	60.0
10.0	15.0	1800.0	360.0	6.0	0.15	4.0	60.0
10.0	16.0	1800.0	240.0	4.0	0.15	4.0	60.0
10.0	17.0	2200.0	480.0	8.0	0.15	4.0	60.0
11.0	4.0	2200.0	360.0	6.0	0.15	4.0	60.0
11.0	10.0	1800.0	300.0	5.0	0.15	4.0	60.0
11.0	12.0	1800.0	360.0	6.0	0.15	4.0	60.0
11.0	14.0	2200.0	240.0	4.0	0.15	4.0	60.0
12.0	3.0	1800.0	240.0	4.0	0.15	4.0	60.0
12.0	11.0	1800.0	360.0	6.0	0.15	4.0	60.0
12.0	13.0	1800.0	180.0	3.0	0.15	4.0	60.0
13.0	12.0	2200.0	180.0	3.0	0.15	4.0	60.0
13.0	24.0	2200.0	240.0	4.0	0.15	4.0	60.0
14.0	11.0	1800.0	240.0	4.0	0.15	4.0	60.0
14.0	15.0	1800.0	300.0	5.0	0.15	4.0	60.0
14.0	23.0	1800.0	240.0	4.0	0.15	4.0	60.0
15.0	10.0	1800.0	360.0	6.0	0.15	4.0	60.0
15.0	14.0	1800.0	300.0	5.0	0.15	4.0	60.0
15.0	19.0	1800.0	180.0	3.0	0.15	4.0	60.0
15.0	22.0	1800.0	180.0	3.0	0.15	4.0	60.0
16.0	8.0	1800.0	300.0	5.0	0.15	4.0	60.0
16.0	10.0	1800.0	240.0	4.0	0.15	4.0	60.0
16.0	17.0	2200.0	120.0	2.0	0.15	4.0	60.0
